id,block,response,time_response,reward,points,key_a,key_s,key_d,key_f,key_h,key_j,key_k,key_l
1.000,1.000,5.000,3.196,0.000,0.000,0.307,0.436,0.387,0.646,0.487,0.350,0.776,0.339
1.000,1.000,6.000,4.110,0.000,0.000,0.344,0.365,0.256,0.570,0.487,0.235,0.593,0.323
1.000,1.000,2.000,5.113,1.000,10.000,0.404,0.405,0.300,0.539,0.424,0.253,0.587,0.313
1.000,1.000,2.000,5.995,1.000,20.000,0.474,0.378,0.165,0.661,0.465,0.168,0.590,0.437
1.000,1.000,2.000,6.862,0.000,20.000,0.395,0.413,0.193,0.751,0.393,0.238,0.607,0.444
1.000,1.000,3.000,7.794,0.000,20.000,0.326,0.450,0.140,0.772,0.372,0.198,0.628,0.385
1.000,1.000,1.000,8.707,0.000,20.000,0.359,0.392,0.148,0.774,0.323,0.184,0.680,0.330
1.000,1.000,7.000,9.724,1.000,30.000,0.373,0.379,0.307,0.744,0.203,0.172,0.629,0.316
1.000,1.000,7.000,10.712,0.000,30.000,0.449,0.315,0.240,0.721,0.212,0.305,0.608,0.345
1.000,1.000,8.000,18.091,1.000,40.000,0.492,0.231,0.250,0.786,0.293,0.396,0.611,0.275
1.000,1.000,5.000,24.101,0.000,40.000,0.512,0.327,0.266,0.637,0.400,0.367,0.626,0.322
1.000,1.000,8.000,25.529,0.000,40.000,0.561,0.325,0.267,0.624,0.386,0.314,0.638,0.339
1.000,1.000,7.000,26.667,1.000,50.000,0.508,0.396,0.255,0.647,0.295,0.281,0.563,0.285
1.000,1.000,7.000,27.619,1.000,60.000,0.424,0.313,0.436,0.756,0.197,0.373,0.737,0.354
1.000,1.000,7.000,28.547,1.000,70.000,0.394,0.447,0.406,0.752,0.299,0.394,0.703,0.252
1.000,1.000,7.000,29.459,1.000,80.000,0.459,0.481,0.477,0.891,0.309,0.304,0.725,0.220
1.000,1.000,7.000,30.326,1.000,90.000,0.549,0.462,0.621,0.900,0.354,0.217,0.869,0.302
1.000,1.000,7.000,31.173,1.000,100.000,0.490,0.400,0.565,0.858,0.496,0.182,0.867,0.211
1.000,1.000,7.000,32.031,1.000,110.000,0.542,0.425,0.498,0.803,0.613,0.200,0.808,0.247
1.000,1.000,7.000,32.948,0.000,110.000,0.590,0.429,0.419,0.816,0.776,0.285,0.821,0.203
1.000,1.000,7.000,33.760,0.000,110.000,0.513,0.530,0.292,0.717,0.742,0.335,0.834,0.103
1.000,1.000,6.000,34.682,1.000,120.000,0.437,0.589,0.429,0.660,0.816,0.265,0.660,0.236
1.000,1.000,6.000,35.569,0.000,120.000,0.384,0.728,0.485,0.482,0.675,0.282,0.622,0.304
1.000,1.000,7.000,36.532,1.000,130.000,0.466,0.836,0.542,0.525,0.682,0.242,0.647,0.260
1.000,1.000,7.000,37.402,0.000,130.000,0.457,0.815,0.530,0.586,0.673,0.190,0.562,0.185
1.000,1.000,5.000,38.246,1.000,140.000,0.584,0.782,0.513,0.584,0.657,0.135,0.537,0.107
1.000,1.000,5.000,39.178,1.000,150.000,0.635,0.723,0.428,0.495,0.734,0.239,0.488,0.114
1.000,1.000,5.000,40.065,1.000,160.000,0.741,0.830,0.342,0.617,0.738,0.279,0.485,0.137
1.000,1.000,5.000,40.952,1.000,170.000,0.716,0.785,0.434,0.630,0.686,0.177,0.464,0.218
1.000,1.000,5.000,41.789,1.000,180.000,0.829,0.647,0.554,0.545,0.729,0.174,0.390,0.383
1.000,1.000,5.000,42.667,1.000,190.000,0.824,0.632,0.606,0.463,0.760,0.290,0.308,0.320
1.000,1.000,5.000,43.504,1.000,200.000,0.804,0.781,0.622,0.543,0.811,0.370,0.299,0.246
1.000,1.000,5.000,44.361,1.000,210.000,0.809,0.801,0.614,0.537,0.721,0.281,0.289,0.282
1.000,1.000,5.000,45.254,1.000,220.000,0.659,0.878,0.522,0.474,0.759,0.289,0.234,0.360
1.000,1.000,5.000,46.132,1.000,230.000,0.656,0.787,0.578,0.440,0.813,0.390,0.164,0.401
1.000,1.000,5.000,47.019,0.000,230.000,0.774,0.695,0.588,0.462,0.792,0.326,0.100,0.418
1.000,1.000,5.000,47.911,1.000,240.000,0.772,0.656,0.594,0.477,0.791,0.444,0.159,0.462
1.000,1.000,5.000,48.757,1.000,250.000,0.787,0.491,0.692,0.505,0.749,0.516,0.232,0.523
1.000,1.000,5.000,49.620,1.000,260.000,0.851,0.580,0.765,0.462,0.863,0.551,0.154,0.564
1.000,1.000,5.000,50.517,1.000,270.000,0.859,0.556,0.825,0.554,0.857,0.547,0.118,0.475
1.000,1.000,5.000,51.395,1.000,280.000,0.761,0.438,0.834,0.649,0.801,0.403,0.168,0.484
1.000,1.000,5.000,52.252,1.000,290.000,0.772,0.400,0.873,0.770,0.808,0.324,0.181,0.494
1.000,1.000,5.000,53.114,1.000,300.000,0.816,0.498,0.831,0.731,0.714,0.356,0.176,0.379
1.000,1.000,5.000,53.966,1.000,310.000,0.847,0.539,0.840,0.832,0.689,0.451,0.212,0.343
1.000,1.000,5.000,54.848,0.000,310.000,0.837,0.461,0.788,0.827,0.705,0.428,0.218,0.430
1.000,1.000,5.000,55.747,0.000,310.000,0.859,0.515,0.791,0.850,0.692,0.413,0.180,0.521
1.000,1.000,5.000,56.567,1.000,320.000,0.755,0.408,0.747,0.778,0.805,0.449,0.327,0.499
1.000,1.000,5.000,57.359,1.000,330.000,0.897,0.457,0.734,0.872,0.761,0.433,0.207,0.440
1.000,1.000,5.000,58.256,1.000,340.000,0.885,0.296,0.778,0.752,0.869,0.431,0.128,0.479
1.000,1.000,5.000,59.134,1.000,350.000,0.850,0.212,0.804,0.810,0.796,0.396,0.247,0.383
1.000,1.000,5.000,59.986,0.000,350.000,0.731,0.134,0.899,0.811,0.813,0.463,0.177,0.408
1.000,1.000,5.000,60.858,1.000,360.000,0.816,0.118,0.841,0.857,0.740,0.476,0.263,0.401
1.000,1.000,5.000,61.725,1.000,370.000,0.841,0.106,0.797,0.795,0.655,0.460,0.319,0.433
1.000,1.000,5.000,62.612,0.000,370.000,0.886,0.224,0.857,0.777,0.596,0.487,0.178,0.525
1.000,1.000,5.000,63.484,1.000,380.000,0.893,0.116,0.854,0.834,0.645,0.492,0.182,0.416
1.000,1.000,5.000,64.346,1.000,390.000,0.873,0.165,0.737,0.802,0.736,0.422,0.188,0.415
1.000,1.000,5.000,65.218,1.000,400.000,0.743,0.217,0.771,0.789,0.696,0.329,0.207,0.326
1.000,1.000,5.000,66.106,1.000,410.000,0.767,0.151,0.697,0.823,0.725,0.250,0.210,0.412
1.000,1.000,5.000,66.983,1.000,420.000,0.894,0.207,0.710,0.860,0.737,0.418,0.169,0.493
1.000,1.000,5.000,67.835,1.000,430.000,0.737,0.116,0.784,0.805,0.706,0.508,0.150,0.585
1.000,1.000,5.000,68.687,0.000,430.000,0.775,0.222,0.862,0.706,0.765,0.507,0.258,0.616
1.000,1.000,5.000,69.584,1.000,440.000,0.606,0.222,0.899,0.642,0.811,0.510,0.207,0.614
1.000,1.000,5.000,70.426,1.000,450.000,0.615,0.466,0.878,0.672,0.838,0.490,0.209,0.664
1.000,1.000,5.000,71.313,1.000,460.000,0.645,0.517,0.748,0.606,0.855,0.345,0.325,0.571
1.000,1.000,5.000,72.210,1.000,470.000,0.723,0.458,0.779,0.520,0.876,0.357,0.266,0.563
1.000,1.000,5.000,73.064,1.000,480.000,0.768,0.394,0.790,0.606,0.701,0.425,0.225,0.591
1.000,1.000,5.000,73.975,1.000,490.000,0.694,0.390,0.778,0.607,0.752,0.381,0.238,0.526
1.000,1.000,5.000,74.862,0.000,490.000,0.649,0.400,0.727,0.711,0.799,0.329,0.205,0.517
1.000,1.000,5.000,75.720,0.000,490.000,0.591,0.388,0.790,0.643,0.754,0.383,0.256,0.464
1.000,1.000,5.000,76.572,1.000,500.000,0.475,0.389,0.867,0.620,0.761,0.394,0.312,0.510
1.000,1.000,5.000,77.444,1.000,510.000,0.538,0.439,0.757,0.597,0.842,0.348,0.346,0.500
1.000,1.000,5.000,78.261,1.000,520.000,0.505,0.475,0.644,0.551,0.778,0.359,0.424,0.654
1.000,1.000,5.000,79.163,1.000,530.000,0.541,0.388,0.661,0.515,0.776,0.251,0.488,0.668
1.000,1.000,5.000,80.020,1.000,540.000,0.420,0.330,0.665,0.434,0.746,0.383,0.420,0.600
1.000,1.000,5.000,80.882,1.000,550.000,0.384,0.323,0.658,0.409,0.736,0.360,0.383,0.530
1.000,1.000,5.000,81.774,1.000,560.000,0.409,0.347,0.718,0.408,0.693,0.308,0.552,0.416
1.000,1.000,5.000,82.649,1.000,570.000,0.469,0.341,0.785,0.423,0.826,0.363,0.673,0.462
1.000,1.000,5.000,83.523,1.000,580.000,0.535,0.363,0.878,0.532,0.713,0.387,0.537,0.579
1.000,1.000,5.000,84.426,0.000,580.000,0.499,0.262,0.773,0.564,0.546,0.312,0.510,0.679
1.000,1.000,5.000,85.318,1.000,590.000,0.454,0.211,0.717,0.485,0.570,0.399,0.523,0.622
1.000,1.000,5.000,86.155,0.000,590.000,0.353,0.150,0.764,0.359,0.563,0.467,0.699,0.703
1.000,1.000,5.000,87.035,1.000,600.000,0.361,0.269,0.637,0.375,0.539,0.451,0.731,0.728
1.000,1.000,5.000,87.866,1.000,610.000,0.265,0.191,0.568,0.445,0.613,0.410,0.813,0.752
1.000,1.000,5.000,88.726,1.000,620.000,0.157,0.317,0.635,0.401,0.551,0.434,0.771,0.763
1.000,1.000,5.000,89.563,1.000,630.000,0.136,0.381,0.614,0.276,0.541,0.393,0.685,0.767
1.000,1.000,5.000,90.435,0.000,630.000,0.206,0.391,0.614,0.451,0.610,0.322,0.713,0.730
1.000,1.000,5.000,91.372,1.000,640.000,0.218,0.451,0.749,0.399,0.623,0.428,0.728,0.672
1.000,1.000,5.000,92.289,1.000,650.000,0.252,0.551,0.646,0.400,0.684,0.379,0.673,0.681
1.000,1.000,5.000,93.192,1.000,660.000,0.221,0.644,0.690,0.291,0.654,0.250,0.750,0.605
1.000,1.000,5.000,94.029,0.000,660.000,0.277,0.787,0.707,0.448,0.750,0.232,0.769,0.591
1.000,1.000,5.000,94.941,1.000,670.000,0.193,0.655,0.656,0.424,0.680,0.343,0.859,0.593
1.000,1.000,5.000,95.808,0.000,670.000,0.157,0.712,0.670,0.441,0.777,0.410,0.792,0.605
1.000,1.000,5.000,96.655,1.000,680.000,0.178,0.702,0.588,0.452,0.780,0.442,0.754,0.532
1.000,1.000,5.000,97.547,1.000,690.000,0.242,0.686,0.627,0.343,0.690,0.381,0.761,0.660
1.000,1.000,5.000,98.414,1.000,700.000,0.192,0.882,0.639,0.341,0.862,0.374,0.647,0.733
1.000,1.000,5.000,99.302,1.000,710.000,0.222,0.805,0.639,0.355,0.737,0.424,0.711,0.802
1.000,1.000,5.000,100.184,1.000,720.000,0.240,0.654,0.544,0.468,0.652,0.412,0.753,0.858
1.000,1.000,5.000,101.071,1.000,730.000,0.314,0.693,0.515,0.400,0.684,0.415,0.618,0.852
1.000,1.000,5.000,101.968,1.000,740.000,0.345,0.642,0.579,0.354,0.618,0.297,0.728,0.838
