id,block,response,time_response,reward,points,key_a,key_s,key_d,key_f
1.000,2.000,2.000,0.902,0.000,0.000,0.684,0.578,0.720,0.687
1.000,2.000,3.000,2.265,0.000,0.000,0.599,0.628,0.656,0.745
1.000,2.000,4.000,3.232,1.000,10.000,0.627,0.623,0.551,0.630
1.000,2.000,4.000,4.185,1.000,20.000,0.676,0.588,0.527,0.734
1.000,2.000,4.000,5.077,0.000,20.000,0.621,0.602,0.647,0.628
1.000,2.000,1.000,5.994,1.000,30.000,0.663,0.718,0.627,0.527
1.000,2.000,1.000,6.901,0.000,30.000,0.545,0.664,0.587,0.583
1.000,2.000,2.000,7.743,0.000,30.000,0.583,0.529,0.459,0.655
1.000,2.000,3.000,8.856,1.000,40.000,0.659,0.411,0.487,0.596
1.000,2.000,3.000,9.843,1.000,50.000,0.565,0.574,0.400,0.471
1.000,2.000,3.000,10.781,0.000,50.000,0.546,0.509,0.453,0.436
1.000,2.000,4.000,11.648,0.000,50.000,0.623,0.589,0.404,0.338
1.000,2.000,2.000,12.485,1.000,60.000,0.543,0.621,0.333,0.321
1.000,2.000,2.000,13.327,0.000,60.000,0.565,0.584,0.320,0.291
1.000,2.000,1.000,14.244,0.000,60.000,0.559,0.649,0.289,0.259
1.000,2.000,3.000,15.126,0.000,60.000,0.655,0.630,0.275,0.387
1.000,2.000,4.000,15.998,0.000,60.000,0.697,0.684,0.369,0.360
1.000,2.000,2.000,16.820,0.000,60.000,0.578,0.638,0.429,0.450
1.000,2.000,1.000,17.677,0.000,60.000,0.530,0.712,0.273,0.556
1.000,2.000,3.000,18.534,0.000,60.000,0.606,0.604,0.288,0.602
1.000,2.000,4.000,19.382,0.000,60.000,0.479,0.636,0.387,0.568
1.000,2.000,4.000,20.304,0.000,60.000,0.356,0.668,0.365,0.575
1.000,2.000,2.000,21.211,1.000,70.000,0.440,0.690,0.415,0.382
1.000,2.000,2.000,22.108,1.000,80.000,0.545,0.554,0.531,0.426
1.000,2.000,2.000,22.960,0.000,80.000,0.570,0.526,0.504,0.441
1.000,2.000,3.000,23.852,1.000,90.000,0.473,0.453,0.549,0.422
1.000,2.000,3.000,24.694,1.000,100.000,0.488,0.529,0.722,0.322
1.000,2.000,3.000,25.536,1.000,110.000,0.581,0.572,0.669,0.308
1.000,2.000,3.000,26.409,0.000,110.000,0.600,0.671,0.597,0.368
1.000,2.000,1.000,27.290,1.000,120.000,0.528,0.737,0.575,0.305
1.000,2.000,1.000,28.178,1.000,130.000,0.573,0.703,0.629,0.269
1.000,2.000,1.000,29.021,1.000,140.000,0.654,0.739,0.680,0.271
1.000,2.000,1.000,29.923,1.000,150.000,0.686,0.655,0.486,0.327
1.000,2.000,1.000,30.785,1.000,160.000,0.714,0.491,0.510,0.344
1.000,2.000,1.000,31.587,1.000,170.000,0.718,0.491,0.447,0.388
1.000,2.000,1.000,32.450,0.000,170.000,0.630,0.399,0.534,0.396
1.000,2.000,1.000,33.362,1.000,180.000,0.615,0.514,0.609,0.485
1.000,2.000,1.000,34.239,1.000,190.000,0.554,0.579,0.684,0.483
1.000,2.000,1.000,35.061,1.000,200.000,0.573,0.580,0.603,0.512
1.000,2.000,1.000,35.918,0.000,200.000,0.435,0.639,0.505,0.572
1.000,2.000,2.000,36.755,1.000,210.000,0.513,0.671,0.429,0.542
1.000,2.000,2.000,37.577,1.000,220.000,0.449,0.668,0.620,0.588
1.000,2.000,2.000,38.409,1.000,230.000,0.386,0.740,0.663,0.616
1.000,2.000,2.000,39.246,0.000,230.000,0.343,0.581,0.549,0.735
1.000,2.000,4.000,40.148,0.000,230.000,0.438,0.653,0.453,0.615
1.000,2.000,3.000,41.005,1.000,240.000,0.573,0.646,0.517,0.609
1.000,2.000,3.000,41.847,0.000,240.000,0.511,0.645,0.504,0.547
1.000,2.000,1.000,42.699,0.000,240.000,0.549,0.749,0.522,0.494
1.000,2.000,1.000,43.556,1.000,250.000,0.468,0.720,0.478,0.444
1.000,2.000,1.000,44.438,0.000,250.000,0.502,0.657,0.598,0.566
1.000,2.000,3.000,45.300,0.000,250.000,0.380,0.748,0.572,0.631
1.000,2.000,2.000,46.107,1.000,260.000,0.369,0.730,0.534,0.746
1.000,2.000,2.000,47.020,1.000,270.000,0.362,0.707,0.577,0.709
1.000,2.000,2.000,47.857,1.000,280.000,0.294,0.574,0.650,0.723
1.000,2.000,2.000,48.739,1.000,290.000,0.397,0.632,0.698,0.691
1.000,2.000,2.000,49.571,1.000,300.000,0.380,0.624,0.623,0.649
1.000,2.000,2.000,50.380,1.000,310.000,0.455,0.672,0.541,0.574
1.000,2.000,2.000,51.250,1.000,320.000,0.407,0.586,0.493,0.506
1.000,2.000,2.000,52.127,1.000,330.000,0.469,0.553,0.563,0.650
1.000,2.000,2.000,53.009,0.000,330.000,0.507,0.429,0.609,0.684
1.000,2.000,2.000,53.911,0.000,330.000,0.406,0.423,0.685,0.735
1.000,2.000,4.000,54.778,0.000,330.000,0.439,0.363,0.584,0.701
1.000,2.000,3.000,55.625,1.000,340.000,0.510,0.296,0.633,0.700
1.000,2.000,3.000,56.512,1.000,350.000,0.573,0.513,0.718,0.708
1.000,2.000,3.000,57.319,1.000,360.000,0.721,0.499,0.716,0.637
1.000,2.000,3.000,58.186,1.000,370.000,0.690,0.543,0.673,0.490
1.000,2.000,3.000,59.064,1.000,380.000,0.535,0.525,0.609,0.470
1.000,2.000,3.000,59.900,1.000,390.000,0.599,0.646,0.612,0.429
1.000,2.000,3.000,60.813,0.000,390.000,0.666,0.631,0.658,0.347
1.000,2.000,3.000,61.720,0.000,390.000,0.606,0.580,0.558,0.431
1.000,2.000,1.000,62.582,1.000,400.000,0.670,0.612,0.668,0.422
1.000,2.000,1.000,63.419,0.000,400.000,0.621,0.473,0.679,0.594
1.000,2.000,2.000,64.336,0.000,400.000,0.682,0.312,0.582,0.601
1.000,2.000,1.000,65.308,1.000,410.000,0.584,0.377,0.641,0.639
1.000,2.000,1.000,66.236,0.000,410.000,0.596,0.310,0.625,0.545
1.000,2.000,4.000,67.133,1.000,420.000,0.579,0.290,0.708,0.533
1.000,2.000,4.000,68.103,1.000,430.000,0.599,0.342,0.682,0.601
1.000,2.000,4.000,68.927,1.000,440.000,0.688,0.333,0.686,0.747
1.000,2.000,4.000,69.784,1.000,450.000,0.656,0.446,0.700,0.722
1.000,2.000,4.000,70.656,1.000,460.000,0.567,0.438,0.532,0.683
1.000,2.000,4.000,71.523,1.000,470.000,0.554,0.468,0.472,0.723
1.000,2.000,4.000,72.395,0.000,470.000,0.608,0.423,0.460,0.722
1.000,2.000,4.000,73.287,1.000,480.000,0.719,0.368,0.378,0.710
1.000,2.000,4.000,74.139,1.000,490.000,0.682,0.494,0.412,0.665
1.000,2.000,4.000,75.001,0.000,490.000,0.701,0.506,0.316,0.738
1.000,2.000,4.000,75.898,1.000,500.000,0.612,0.607,0.394,0.586
1.000,2.000,4.000,76.750,0.000,500.000,0.505,0.579,0.406,0.540
1.000,2.000,4.000,77.613,0.000,500.000,0.549,0.566,0.423,0.496
1.000,2.000,3.000,78.460,0.000,500.000,0.614,0.568,0.519,0.347
1.000,2.000,2.000,79.332,0.000,500.000,0.641,0.550,0.591,0.383
1.000,2.000,1.000,80.216,1.000,510.000,0.570,0.643,0.526,0.463
1.000,2.000,1.000,81.061,0.000,510.000,0.577,0.586,0.497,0.418
1.000,2.000,2.000,81.968,0.000,510.000,0.477,0.545,0.484,0.418
1.000,2.000,3.000,82.805,1.000,520.000,0.291,0.620,0.478,0.381
1.000,2.000,3.000,83.672,0.000,520.000,0.342,0.620,0.412,0.444
1.000,2.000,3.000,84.524,0.000,520.000,0.322,0.493,0.475,0.477
1.000,2.000,1.000,85.396,0.000,520.000,0.431,0.559,0.546,0.442
1.000,2.000,2.000,86.268,1.000,530.000,0.418,0.680,0.519,0.322
1.000,2.000,2.000,87.130,1.000,540.000,0.304,0.712,0.646,0.258
1.000,2.000,2.000,87.998,1.000,550.000,0.365,0.730,0.698,0.311
1.000,2.000,2.000,88.845,1.000,560.000,0.339,0.740,0.715,0.376
1.000,2.000,2.000,89.712,1.000,570.000,0.350,0.695,0.657,0.446
1.000,2.000,2.000,90.549,1.000,580.000,0.371,0.614,0.738,0.466
1.000,2.000,2.000,91.381,0.000,580.000,0.370,0.388,0.636,0.460
1.000,2.000,4.000,92.218,1.000,590.000,0.255,0.563,0.497,0.478
1.000,2.000,4.000,93.080,0.000,590.000,0.371,0.571,0.413,0.417
1.000,2.000,4.000,93.952,0.000,590.000,0.395,0.628,0.482,0.496
1.000,2.000,2.000,94.794,0.000,590.000,0.430,0.636,0.473,0.581
1.000,2.000,3.000,95.671,1.000,600.000,0.379,0.656,0.402,0.668
1.000,2.000,3.000,96.523,1.000,610.000,0.318,0.663,0.431,0.573
1.000,2.000,3.000,97.395,1.000,620.000,0.304,0.629,0.448,0.610
1.000,2.000,3.000,98.282,0.000,620.000,0.380,0.529,0.536,0.603
1.000,2.000,1.000,99.164,0.000,620.000,0.429,0.490,0.484,0.652
1.000,2.000,3.000,100.072,1.000,630.000,0.435,0.491,0.604,0.539
1.000,2.000,3.000,101.039,0.000,630.000,0.412,0.461,0.669,0.510
