id,block,response,time_response,reward,points,key_a,key_s
2.000,1.000,2.000,1.800,0.000,0.000,0.749,0.624
2.000,1.000,2.000,3.484,0.000,0.000,0.668,0.615
2.000,1.000,2.000,7.519,1.000,10.000,0.710,0.477
2.000,1.000,2.000,8.462,1.000,20.000,0.653,0.447
2.000,1.000,2.000,9.369,0.000,20.000,0.641,0.292
2.000,1.000,1.000,10.201,0.000,20.000,0.638,0.261
2.000,1.000,2.000,11.073,0.000,20.000,0.571,0.334
2.000,1.000,2.000,11.910,1.000,30.000,0.562,0.348
2.000,1.000,2.000,12.717,0.000,30.000,0.560,0.472
2.000,1.000,1.000,13.674,1.000,40.000,0.512,0.412
2.000,1.000,1.000,14.576,0.000,40.000,0.524,0.271
2.000,1.000,1.000,15.429,1.000,50.000,0.526,0.306
2.000,1.000,1.000,16.351,1.000,60.000,0.653,0.392
2.000,1.000,1.000,17.218,1.000,70.000,0.599,0.334
2.000,1.000,1.000,18.070,1.000,80.000,0.561,0.385
2.000,1.000,1.000,18.957,1.000,90.000,0.592,0.280
2.000,1.000,1.000,19.795,1.000,100.000,0.684,0.271
2.000,1.000,1.000,20.671,1.000,110.000,0.625,0.296
2.000,1.000,1.000,21.508,1.000,120.000,0.629,0.312
2.000,1.000,1.000,22.320,0.000,120.000,0.556,0.412
2.000,1.000,2.000,23.368,0.000,120.000,0.674,0.369
2.000,1.000,1.000,24.235,1.000,130.000,0.634,0.311
2.000,1.000,1.000,25.087,0.000,130.000,0.653,0.253
2.000,1.000,2.000,25.999,0.000,130.000,0.617,0.271
2.000,1.000,2.000,26.831,0.000,130.000,0.508,0.324
2.000,1.000,2.000,27.683,0.000,130.000,0.575,0.256
2.000,1.000,2.000,28.468,1.000,140.000,0.658,0.301
2.000,1.000,2.000,29.393,0.000,140.000,0.685,0.293
2.000,1.000,1.000,30.199,1.000,150.000,0.660,0.426
2.000,1.000,1.000,31.126,1.000,160.000,0.653,0.328
2.000,1.000,1.000,32.023,1.000,170.000,0.712,0.383
2.000,1.000,1.000,32.875,1.000,180.000,0.638,0.298
2.000,1.000,1.000,33.747,1.000,190.000,0.478,0.475
2.000,1.000,1.000,34.609,1.000,200.000,0.308,0.440
2.000,1.000,1.000,35.441,1.000,210.000,0.426,0.503
2.000,1.000,1.000,36.289,0.000,210.000,0.485,0.357
2.000,1.000,1.000,37.156,1.000,220.000,0.576,0.337
2.000,1.000,1.000,37.988,1.000,230.000,0.393,0.507
2.000,1.000,1.000,38.860,1.000,240.000,0.399,0.481
2.000,1.000,1.000,39.707,1.000,250.000,0.479,0.412
2.000,1.000,1.000,40.609,1.000,260.000,0.426,0.642
2.000,1.000,1.000,41.487,0.000,260.000,0.327,0.664
2.000,1.000,1.000,42.434,0.000,260.000,0.336,0.740
2.000,1.000,1.000,43.281,0.000,260.000,0.408,0.722
2.000,1.000,2.000,44.171,0.000,260.000,0.372,0.678
2.000,1.000,1.000,45.010,0.000,260.000,0.298,0.577
2.000,1.000,1.000,45.932,0.000,260.000,0.316,0.693
2.000,1.000,2.000,46.769,1.000,270.000,0.373,0.625
2.000,1.000,2.000,47.651,1.000,280.000,0.357,0.698
2.000,1.000,2.000,48.553,1.000,290.000,0.320,0.713
2.000,1.000,2.000,49.380,0.000,290.000,0.393,0.719
2.000,1.000,2.000,50.242,1.000,300.000,0.354,0.743
2.000,1.000,1.000,51.109,0.000,300.000,0.358,0.633
2.000,1.000,2.000,52.014,0.000,300.000,0.352,0.597
2.000,1.000,2.000,52.924,1.000,310.000,0.359,0.613
2.000,1.000,2.000,53.826,1.000,320.000,0.370,0.723
2.000,1.000,2.000,54.743,1.000,330.000,0.430,0.533
2.000,1.000,2.000,55.633,1.000,340.000,0.304,0.424
2.000,1.000,2.000,56.543,1.000,350.000,0.262,0.370
2.000,1.000,2.000,57.380,0.000,350.000,0.374,0.319
2.000,1.000,1.000,58.318,0.000,350.000,0.525,0.303
2.000,1.000,2.000,59.124,0.000,350.000,0.634,0.256
2.000,1.000,2.000,59.976,0.000,350.000,0.493,0.478
2.000,1.000,2.000,60.828,1.000,360.000,0.556,0.491
2.000,1.000,2.000,61.635,0.000,360.000,0.628,0.497
2.000,1.000,2.000,62.527,1.000,370.000,0.693,0.429
2.000,1.000,2.000,63.439,0.000,370.000,0.709,0.483
2.000,1.000,1.000,64.251,0.000,370.000,0.640,0.560
2.000,1.000,2.000,65.154,0.000,370.000,0.463,0.586
2.000,1.000,2.000,66.001,1.000,380.000,0.489,0.535
2.000,1.000,2.000,66.889,0.000,380.000,0.412,0.467
2.000,1.000,2.000,67.796,1.000,390.000,0.309,0.544
2.000,1.000,2.000,68.673,0.000,390.000,0.267,0.441
2.000,1.000,2.000,69.485,1.000,400.000,0.281,0.500
2.000,1.000,2.000,70.407,0.000,400.000,0.330,0.473
2.000,1.000,2.000,71.279,0.000,400.000,0.375,0.426
2.000,1.000,2.000,72.127,1.000,410.000,0.271,0.412
