id,block,response,time_response,reward,points,key_a,key_s,key_d,key_f
1.000,1.000,1.000,0.942,1.000,10.000,0.793,0.830,0.175,0.233
1.000,1.000,2.000,2.261,1.000,20.000,0.671,0.890,0.160,0.271
1.000,1.000,1.000,3.413,1.000,30.000,0.600,0.755,0.192,0.168
1.000,1.000,3.000,4.573,1.000,40.000,0.654,0.833,0.177,0.298
1.000,1.000,1.000,5.741,1.000,50.000,0.557,0.792,0.318,0.141
1.000,1.000,1.000,6.933,0.000,50.000,0.522,0.865,0.342,0.147
1.000,1.000,2.000,8.013,1.000,60.000,0.505,0.829,0.330,0.113
1.000,1.000,2.000,9.142,1.000,70.000,0.567,0.872,0.377,0.200
1.000,1.000,3.000,10.237,0.000,70.000,0.570,0.822,0.328,0.251
1.000,1.000,1.000,11.373,1.000,80.000,0.613,0.864,0.330,0.269
