id,block,response,time_response,reward,points,key_a,key_s,key_d,key_f,key_h,key_j,key_k,key_l
1.000,2.000,1.000,0.466,0.000,0.000,0.749,0.496,0.264,0.440,0.522,0.454,0.520,0.296
1.000,2.000,4.000,1.408,0.000,0.000,0.742,0.468,0.344,0.359,0.435,0.511,0.631,0.297
1.000,2.000,6.000,2.240,1.000,10.000,0.663,0.437,0.390,0.435,0.407,0.546,0.666,0.362
1.000,2.000,6.000,3.118,0.000,10.000,0.666,0.486,0.401,0.470,0.473,0.580,0.629,0.473
1.000,2.000,7.000,4.020,0.000,10.000,0.624,0.299,0.475,0.476,0.395,0.478,0.706,0.556
1.000,2.000,6.000,4.852,1.000,20.000,0.475,0.305,0.368,0.457,0.377,0.643,0.736,0.568
1.000,2.000,6.000,5.674,0.000,20.000,0.570,0.273,0.492,0.362,0.449,0.490,0.740,0.465
1.000,2.000,6.000,6.696,0.000,20.000,0.643,0.318,0.464,0.491,0.327,0.572,0.674,0.460
1.000,2.000,5.000,7.553,1.000,30.000,0.470,0.405,0.570,0.555,0.435,0.594,0.622,0.420
1.000,2.000,5.000,8.395,1.000,40.000,0.424,0.465,0.442,0.486,0.442,0.629,0.517,0.432
1.000,2.000,5.000,9.237,1.000,50.000,0.394,0.532,0.362,0.529,0.508,0.507,0.521,0.341
1.000,2.000,5.000,10.084,1.000,60.000,0.416,0.383,0.271,0.636,0.548,0.562,0.505,0.346
1.000,2.000,5.000,10.987,1.000,70.000,0.348,0.317,0.369,0.708,0.472,0.608,0.456,0.330
1.000,2.000,5.000,11.844,0.000,70.000,0.322,0.262,0.446,0.698,0.553,0.621,0.385,0.299
1.000,2.000,5.000,12.746,0.000,70.000,0.370,0.299,0.317,0.622,0.658,0.526,0.677,0.375
1.000,2.000,7.000,13.673,1.000,80.000,0.304,0.371,0.304,0.563,0.548,0.586,0.715,0.418
1.000,2.000,7.000,14.555,1.000,90.000,0.409,0.459,0.383,0.528,0.526,0.569,0.670,0.419
1.000,2.000,7.000,15.407,0.000,90.000,0.431,0.363,0.274,0.609,0.631,0.475,0.515,0.319
1.000,2.000,6.000,16.214,0.000,90.000,0.511,0.467,0.277,0.649,0.633,0.486,0.465,0.388
1.000,2.000,8.000,17.106,0.000,90.000,0.534,0.416,0.289,0.654,0.730,0.522,0.482,0.377
1.000,2.000,4.000,17.988,0.000,90.000,0.631,0.265,0.362,0.615,0.637,0.480,0.384,0.261
1.000,2.000,2.000,18.807,0.000,90.000,0.616,0.422,0.315,0.637,0.502,0.400,0.380,0.310
1.000,2.000,3.000,19.689,0.000,90.000,0.637,0.517,0.254,0.667,0.497,0.313,0.380,0.375
1.000,2.000,1.000,20.571,1.000,100.000,0.626,0.443,0.250,0.584,0.402,0.421,0.532,0.251
1.000,2.000,1.000,21.434,0.000,100.000,0.585,0.383,0.314,0.532,0.423,0.464,0.476,0.282
1.000,2.000,1.000,22.326,1.000,110.000,0.626,0.450,0.255,0.534,0.327,0.521,0.388,0.330
1.000,2.000,1.000,23.213,1.000,120.000,0.674,0.446,0.253,0.582,0.361,0.497,0.306,0.270
1.000,2.000,1.000,24.065,1.000,130.000,0.719,0.485,0.382,0.530,0.454,0.503,0.352,0.299
1.000,2.000,1.000,24.922,0.000,130.000,0.643,0.384,0.343,0.459,0.535,0.563,0.349,0.327
1.000,2.000,2.000,25.834,1.000,140.000,0.618,0.334,0.407,0.431,0.567,0.616,0.334,0.443
1.000,2.000,2.000,26.702,1.000,150.000,0.582,0.447,0.403,0.604,0.620,0.709,0.383,0.351
1.000,2.000,2.000,27.589,1.000,160.000,0.686,0.446,0.406,0.677,0.503,0.640,0.360,0.300
1.000,2.000,2.000,28.476,0.000,160.000,0.681,0.505,0.362,0.684,0.528,0.651,0.398,0.339
1.000,2.000,3.000,29.388,1.000,170.000,0.567,0.437,0.499,0.637,0.487,0.582,0.304,0.280
1.000,2.000,3.000,30.351,1.000,180.000,0.636,0.424,0.481,0.514,0.484,0.573,0.279,0.354
1.000,2.000,3.000,31.248,0.000,180.000,0.621,0.397,0.582,0.625,0.359,0.645,0.252,0.409
1.000,2.000,4.000,32.020,1.000,190.000,0.666,0.345,0.588,0.597,0.381,0.677,0.309,0.602
1.000,2.000,4.000,33.002,1.000,200.000,0.688,0.430,0.616,0.536,0.377,0.538,0.394,0.590
1.000,2.000,4.000,33.904,1.000,210.000,0.680,0.416,0.452,0.473,0.398,0.591,0.470,0.578
1.000,2.000,4.000,34.831,0.000,210.000,0.562,0.389,0.440,0.444,0.310,0.603,0.435,0.569
1.000,2.000,5.000,35.969,1.000,220.000,0.492,0.407,0.513,0.361,0.407,0.596,0.683,0.638
