id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s
4.000,1.000,1.000,1.000,9.892,1.000,10.000,2.000,0.553,0.742
4.000,1.000,2.000,2.000,15.444,1.000,20.000,2.000,0.570,0.603
4.000,1.000,3.000,2.000,17.995,1.000,30.000,2.000,0.595,0.589
4.000,1.000,4.000,1.000,22.099,1.000,40.000,2.000,0.666,0.629
4.000,1.000,5.000,1.000,25.235,1.000,50.000,2.000,0.735,0.618
4.000,1.000,6.000,1.000,73.666,1.000,60.000,2.000,0.736,0.577
4.000,1.000,7.000,2.000,79.170,1.000,70.000,2.000,0.641,0.501
4.000,1.000,8.000,1.000,80.610,1.000,80.000,2.000,0.646,0.423
4.000,1.000,9.000,1.000,81.394,1.000,90.000,2.000,0.681,0.419
4.000,1.000,10.000,1.000,82.618,1.000,100.000,2.000,0.595,0.352
4.000,1.000,11.000,1.000,84.874,1.000,110.000,2.000,0.538,0.322
4.000,1.000,12.000,2.000,86.594,0.000,110.000,2.000,0.669,0.313
4.000,1.000,13.000,1.000,88.386,1.000,120.000,2.000,0.612,0.453
4.000,1.000,14.000,2.000,89.913,0.000,120.000,2.000,0.643,0.374
4.000,1.000,15.000,1.000,91.378,1.000,130.000,2.000,0.675,0.499
4.000,1.000,16.000,1.000,92.689,1.000,140.000,2.000,0.705,0.580
4.000,1.000,17.000,1.000,93.793,1.000,150.000,2.000,0.652,0.620
4.000,1.000,18.000,2.000,95.281,1.000,160.000,2.000,0.700,0.677
4.000,1.000,19.000,1.000,96.585,1.000,170.000,2.000,0.730,0.714
4.000,1.000,20.000,2.000,97.801,1.000,180.000,2.000,0.693,0.703
4.000,1.000,21.000,2.000,99.161,1.000,190.000,2.000,0.604,0.578
4.000,1.000,22.000,1.000,99.945,1.000,200.000,2.000,0.650,0.557
4.000,1.000,23.000,2.000,101.297,1.000,210.000,2.000,0.626,0.684
4.000,1.000,24.000,2.000,102.201,1.000,220.000,2.000,0.664,0.735
4.000,1.000,25.000,1.000,103.209,1.000,230.000,2.000,0.677,0.719
4.000,1.000,26.000,2.000,104.289,0.000,230.000,2.000,0.709,0.582
4.000,1.000,27.000,1.000,105.393,1.000,240.000,2.000,0.586,0.541
4.000,1.000,28.000,1.000,106.489,1.000,250.000,2.000,0.467,0.451
4.000,1.000,29.000,1.000,107.377,0.000,250.000,2.000,0.498,0.307
4.000,1.000,30.000,2.000,108.433,1.000,260.000,2.000,0.594,0.321
4.000,1.000,31.000,2.000,109.321,0.000,260.000,2.000,0.556,0.333
4.000,1.000,32.000,1.000,110.217,1.000,270.000,2.000,0.657,0.358
4.000,1.000,33.000,2.000,111.161,1.000,280.000,2.000,0.558,0.280
4.000,1.000,34.000,1.000,112.113,0.000,280.000,2.000,0.546,0.324
4.000,1.000,35.000,2.000,113.105,0.000,280.000,2.000,0.462,0.431
4.000,1.000,36.000,2.000,114.201,1.000,290.000,2.000,0.495,0.477
4.000,1.000,37.000,2.000,115.193,0.000,290.000,2.000,0.353,0.463
4.000,1.000,38.000,1.000,116.289,1.000,300.000,2.000,0.448,0.477
4.000,1.000,39.000,2.000,117.785,0.000,300.000,2.000,0.523,0.521
4.000,1.000,40.000,1.000,118.993,0.000,300.000,2.000,0.531,0.408
4.000,1.000,41.000,1.000,120.497,0.000,300.000,2.000,0.395,0.407
4.000,1.000,42.000,1.000,123.185,0.000,300.000,2.000,0.352,0.494
4.000,1.000,43.000,2.000,124.625,1.000,310.000,2.000,0.436,0.626
4.000,1.000,44.000,1.000,126.321,0.000,310.000,2.000,0.465,0.687
4.000,1.000,45.000,2.000,127.553,0.000,310.000,2.000,0.507,0.720
4.000,1.000,46.000,1.000,129.185,0.000,310.000,2.000,0.398,0.658
4.000,1.000,47.000,1.000,130.616,0.000,310.000,2.000,0.445,0.570
4.000,1.000,48.000,1.000,133.120,1.000,320.000,2.000,0.436,0.533
4.000,1.000,49.000,1.000,135.376,1.000,330.000,2.000,0.530,0.521
4.000,1.000,50.000,1.000,137.760,0.000,330.000,2.000,0.481,0.569
4.000,1.000,51.000,1.000,147.304,1.000,340.000,2.000,0.444,0.660
4.000,1.000,52.000,2.000,148.592,1.000,350.000,2.000,0.376,0.704
4.000,1.000,53.000,2.000,150.056,0.000,350.000,2.000,0.327,0.700
4.000,1.000,54.000,1.000,151.288,1.000,360.000,2.000,0.385,0.509
4.000,1.000,55.000,1.000,152.480,0.000,360.000,2.000,0.394,0.529
4.000,1.000,56.000,2.000,153.448,1.000,370.000,2.000,0.557,0.505
4.000,1.000,57.000,1.000,154.976,1.000,380.000,2.000,0.715,0.517
4.000,1.000,58.000,1.000,156.376,0.000,380.000,2.000,0.661,0.619
4.000,1.000,59.000,2.000,157.312,0.000,380.000,2.000,0.599,0.613
4.000,1.000,60.000,2.000,158.456,1.000,390.000,2.000,0.472,0.610
4.000,1.000,61.000,1.000,159.656,1.000,400.000,2.000,0.420,0.557
4.000,1.000,62.000,1.000,161.008,1.000,410.000,2.000,0.431,0.504
4.000,1.000,63.000,1.000,162.120,0.000,410.000,2.000,0.497,0.404
4.000,1.000,64.000,1.000,163.464,1.000,420.000,2.000,0.559,0.406
4.000,1.000,65.000,2.000,164.696,0.000,420.000,2.000,0.555,0.431
4.000,1.000,66.000,1.000,165.784,1.000,430.000,2.000,0.605,0.377
4.000,1.000,67.000,1.000,166.927,1.000,440.000,2.000,0.558,0.372
4.000,1.000,68.000,2.000,168.351,1.000,450.000,2.000,0.497,0.409
4.000,1.000,69.000,1.000,169.959,0.000,450.000,2.000,0.529,0.351
4.000,1.000,70.000,2.000,171.047,1.000,460.000,2.000,0.608,0.355
4.000,1.000,71.000,2.000,172.559,1.000,470.000,2.000,0.640,0.420
4.000,1.000,72.000,1.000,173.831,1.000,480.000,2.000,0.642,0.304
4.000,1.000,73.000,1.000,175.511,0.000,480.000,2.000,0.608,0.306
4.000,1.000,74.000,2.000,176.503,0.000,480.000,2.000,0.707,0.314
4.000,1.000,75.000,2.000,177.519,0.000,480.000,2.000,0.730,0.307
4.000,1.000,76.000,1.000,178.687,0.000,480.000,2.000,0.750,0.426
4.000,1.000,77.000,1.000,179.887,1.000,490.000,2.000,0.646,0.450
4.000,1.000,78.000,1.000,181.591,1.000,500.000,2.000,0.606,0.365
4.000,1.000,79.000,2.000,183.559,0.000,500.000,2.000,0.541,0.332
4.000,1.000,80.000,1.000,184.535,1.000,510.000,2.000,0.553,0.404
4.000,1.000,81.000,1.000,185.815,0.000,510.000,2.000,0.550,0.346
4.000,1.000,82.000,1.000,186.879,0.000,510.000,2.000,0.495,0.307
4.000,1.000,83.000,1.000,188.047,0.000,510.000,2.000,0.653,0.311
4.000,1.000,84.000,2.000,189.231,0.000,510.000,2.000,0.581,0.285
4.000,1.000,85.000,2.000,190.535,0.000,510.000,2.000,0.570,0.366
