id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s,key_d,key_f
6.000,3.000,1.000,1.000,1.786,1.000,10.000,4.000,0.630,0.614,0.622,0.606
6.000,3.000,2.000,1.000,2.426,1.000,20.000,4.000,0.664,0.633,0.660,0.527
6.000,3.000,3.000,1.000,3.122,1.000,30.000,4.000,0.718,0.648,0.667,0.474
6.000,3.000,4.000,1.000,3.722,1.000,40.000,4.000,0.718,0.572,0.662,0.511
6.000,3.000,5.000,1.000,4.354,1.000,50.000,4.000,0.530,0.421,0.538,0.521
6.000,3.000,6.000,1.000,4.946,1.000,60.000,4.000,0.550,0.427,0.671,0.491
6.000,3.000,7.000,1.000,5.690,1.000,70.000,4.000,0.620,0.367,0.664,0.436
6.000,3.000,8.000,1.000,6.386,1.000,80.000,4.000,0.604,0.514,0.725,0.380
6.000,3.000,9.000,1.000,7.114,1.000,90.000,4.000,0.460,0.484,0.682,0.541
6.000,3.000,10.000,1.000,7.666,1.000,100.000,4.000,0.429,0.451,0.671,0.477
6.000,3.000,11.000,1.000,8.889,0.000,100.000,4.000,0.424,0.464,0.646,0.489
6.000,3.000,12.000,1.000,9.522,1.000,110.000,4.000,0.468,0.454,0.637,0.551
6.000,3.000,13.000,1.000,10.178,1.000,120.000,4.000,0.529,0.362,0.624,0.499
6.000,3.000,14.000,1.000,10.858,1.000,130.000,4.000,0.560,0.252,0.541,0.442
6.000,3.000,15.000,1.000,11.457,0.000,130.000,4.000,0.531,0.254,0.471,0.516
6.000,3.000,16.000,1.000,12.073,1.000,140.000,4.000,0.508,0.259,0.523,0.511
6.000,3.000,17.000,1.000,12.745,1.000,150.000,4.000,0.451,0.390,0.554,0.399
6.000,3.000,18.000,1.000,13.297,0.000,150.000,4.000,0.355,0.451,0.551,0.406
6.000,3.000,19.000,1.000,14.401,0.000,150.000,4.000,0.426,0.548,0.517,0.430
6.000,3.000,20.000,1.000,15.561,0.000,150.000,4.000,0.565,0.457,0.602,0.321
6.000,3.000,21.000,2.000,16.665,1.000,160.000,4.000,0.596,0.417,0.476,0.422
6.000,3.000,22.000,2.000,17.705,1.000,170.000,4.000,0.628,0.416,0.354,0.542
6.000,3.000,23.000,2.000,18.305,1.000,180.000,4.000,0.621,0.537,0.544,0.558
6.000,3.000,24.000,2.000,18.897,1.000,190.000,4.000,0.580,0.594,0.593,0.617
6.000,3.000,25.000,2.000,19.497,1.000,200.000,4.000,0.691,0.600,0.675,0.612
6.000,3.000,26.000,2.000,20.129,1.000,210.000,4.000,0.612,0.609,0.652,0.743
6.000,3.000,27.000,2.000,20.785,1.000,220.000,4.000,0.446,0.479,0.561,0.666
6.000,3.000,28.000,2.000,21.417,0.000,220.000,4.000,0.466,0.486,0.639,0.636
6.000,3.000,29.000,2.000,22.041,0.000,220.000,4.000,0.513,0.362,0.624,0.671
6.000,3.000,30.000,3.000,22.673,1.000,230.000,4.000,0.566,0.444,0.720,0.701
6.000,3.000,31.000,3.000,23.297,1.000,240.000,4.000,0.590,0.345,0.689,0.727
6.000,3.000,32.000,3.000,23.945,1.000,250.000,4.000,0.678,0.338,0.593,0.744
6.000,3.000,33.000,3.000,24.569,1.000,260.000,4.000,0.670,0.345,0.672,0.706
6.000,3.000,34.000,3.000,25.769,0.000,260.000,4.000,0.723,0.461,0.652,0.509
6.000,3.000,35.000,3.000,26.361,1.000,270.000,4.000,0.714,0.408,0.612,0.470
6.000,3.000,36.000,3.000,26.977,1.000,280.000,4.000,0.573,0.312,0.732,0.558
6.000,3.000,37.000,3.000,27.561,0.000,280.000,4.000,0.572,0.290,0.630,0.482
6.000,3.000,38.000,3.000,28.137,1.000,290.000,4.000,0.552,0.456,0.595,0.553
6.000,3.000,39.000,3.000,28.753,0.000,290.000,4.000,0.565,0.348,0.578,0.584
6.000,3.000,40.000,3.000,29.313,1.000,300.000,4.000,0.490,0.284,0.587,0.599
6.000,3.000,41.000,3.000,29.953,0.000,300.000,4.000,0.437,0.369,0.553,0.645
6.000,3.000,42.000,3.000,30.513,1.000,310.000,4.000,0.477,0.497,0.487,0.619
6.000,3.000,43.000,3.000,31.081,0.000,310.000,4.000,0.535,0.498,0.452,0.587
6.000,3.000,44.000,3.000,32.097,0.000,310.000,4.000,0.583,0.418,0.348,0.571
6.000,3.000,45.000,4.000,32.697,0.000,310.000,4.000,0.644,0.330,0.263,0.545
6.000,3.000,46.000,4.000,33.273,0.000,310.000,4.000,0.716,0.311,0.323,0.625
6.000,3.000,47.000,4.000,33.865,1.000,320.000,4.000,0.665,0.294,0.390,0.557
6.000,3.000,48.000,4.000,34.457,1.000,330.000,4.000,0.596,0.364,0.287,0.693
